SalesID,SalesPersonID,CustomerID,ProductID,Quantity,Discount,TotalPrice,SalesDate,TransactionNumber
1672887,11,7821,223,2,0.0,0.0,2018-01-17 14:45:28.300,6XR5ZB3V585T2Y0Z7KHB
1224367,6,83534,348,22,0.1,0.0,2018-03-08 16:08:40.770,8MJ9VYAXTBFL4K4GPEGO
6432959,5,51676,19,14,0.0,0.0,2018-02-05 04:10:27.270,3IPTZ9JJHBGD2Y3Y2D9S
120102,17,7006,279,2,0.0,0.0,2018-01-27 22:28:01.830,1UECGO21QCS2SBVXAQYU
6436814,7,19863,25,6,0.0,0.0,2018-04-03 17:36:39.220,7QCJR6IKEIINKGI7H0FB
4012288,11,62178,188,16,0.0,0.0,2018-03-29 10:17:37.440,YNG6MX4PTVESJND2CK9W
1590644,18,7494,255,2,0.0,0.0,2018-05-05 11:45:51.600,75SJYF2YMGRJJ5BM2USO
4680683,5,17035,73,5,0.0,0.0,2018-02-15 05:28:23.890,04Q06D4YA7VDKZIC1RJA
63784,17,67224,47,18,0.0,0.0,2018-03-07 12:53:29.680,8AOJVU5IEJK5BBHTEA40
4390277,11,14730,297,4,0.0,0.0,2018-02-11 21:57:59.280,WPFUA4ZYXDWV39RY4K7M
1665743,7,6757,114,2,0.0,0.0,2018-02-07 12:50:45.720,NI1JFL0HA1JW37QGH51M
349589,6,58676,48,15,0.0,0.0,2018-03-27 03:59:34.770,8U2LC2QMG67NR8QY3SF3
1149599,7,11839,171,3,0.0,0.0,2018-05-03 07:22:17.730,NFP7HARMWWEY9EXUKC1P
3956783,22,45343,103,12,0.0,0.0,2018-01-28 00:09:36.580,Q15VSWTN6IP32HIKIW2Y
5380381,8,15254,415,4,0.0,0.0,2018-04-25 16:28:58.620,46XNAMTBG1QA6B41NITP
5674742,1,83676,252,22,0.0,0.0,2018-03-06 02:12:01.950,15YXZIIRZUZPQJARL1RF
1344220,6,14327,7,4,0.0,0.0,2018-04-29 14:40:57.810,3PYSQR1KC4SCQVQ8ELN7
6476229,3,32898,86,9,0.0,0.0,2018-04-17 02:09:46.730,QIAA9D1J8VVULD6YB07Y
6232646,17,62828,5,16,0.0,0.0,2018-01-31 03:01:50.900,RLHE2WXGK6OWW7ZF4VHX
5126033,9,31627,337,9,0.0,0.0,2018-02-07 18:00:04.250,E57Q9O5XX8V9TNHYE2GD
582993,18,20496,409,6,0.0,0.0,2018-02-16 04:01:34.070,BJ6QN7PCTRLMPG0TYVG2
113896,10,51332,88,13,0.0,0.0,2018-02-12 02:21:25.910,M819YZFYVM7ELR66HZNH
47480,9,43857,263,12,0.0,0.0,2018-03-12 02:42:11.670,9XCD7DAX1QFPPXSZST4O
3679502,1,32273,370,9,0.2,0.0,2018-04-03 17:10:39.600,4MS7XYUWY0UTBPOX1BUO
6381053,10,64279,235,17,0.0,0.0,2018-01-07 05:25:11.330,X0EX0YIXLKTM5ZQ98PT9
818671,23,35439,180,9,0.0,0.0,2018-01-07 15:02:17.900,7G48KVEZIMWJEYZC3RSQ
2623588,4,18104,94,5,0.0,0.0,2018-01-19 08:13:58.600,79QPTE80KC7U1KIHE6QY
2758019,17,61958,450,16,0.1,0.0,2018-03-19 17:05:44.800,XF65SV06EE523YQXZCI7
2641348,19,32384,65,9,0.0,0.0,2018-02-07 15:15:15.310,D15VAAJR7OWDLJQNXX3H
1487981,16,69244,321,18,0.1,0.0,2018-04-11 07:40:43.820,G35HFOMMGLL5ACEBT6A6
4290016,13,45559,141,12,0.1,0.0,2018-02-09 03:37:51.230,4N3G758KK7ZJWKZ77HYX
5151192,14,56918,40,15,0.1,0.0,2018-02-26 23:31:06.150,0E4H0C273Z37KSQ9BMWQ
